decision_id,episode_id,scenario_id,step_index,timestamp,region_id,robot_region,battery_soc,distance,estimated_move_time,estimated_energy,switch_cost,scene_weight,reachable,counterfactual_risk_gain
scenario_1_kitchen_pm_spike_ep00_d036,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,36,2026-08-01T09:18:00,C,A,91.12000000000006,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,649.6727917627995
scenario_1_kitchen_pm_spike_ep00_d036,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,36,2026-08-01T09:18:00,D,A,91.12000000000006,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,58.16900247321041
scenario_1_kitchen_pm_spike_ep00_d039,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,39,2026-08-01T09:19:30,A,B,90.88000000000007,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,72.60315107192127
scenario_1_kitchen_pm_spike_ep00_d039,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,39,2026-08-01T09:19:30,B,B,90.88000000000007,0.0,0.0,0.0,0.0,1.0,1,55.84945318435052
scenario_1_kitchen_pm_spike_ep00_d039,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,39,2026-08-01T09:19:30,C,B,90.88000000000007,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,615.4799121649064
scenario_1_kitchen_pm_spike_ep00_d039,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,39,2026-08-01T09:19:30,D,B,90.88000000000007,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,61.67572874800385
scenario_1_kitchen_pm_spike_ep00_d042,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,42,2026-08-01T09:21:00,A,D,90.64000000000007,5.656854249492381,12.570787221094179,0.9302382543609693,1.0,1.0,1,74.97834953070833
scenario_1_kitchen_pm_spike_ep00_d042,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,42,2026-08-01T09:21:00,B,D,90.64000000000007,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,59.28761144639566
scenario_1_kitchen_pm_spike_ep00_d042,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,42,2026-08-01T09:21:00,C,D,90.64000000000007,4.0,8.88888888888889,0.6577777777777778,1.0,1.0,1,583.2602068919142
scenario_1_kitchen_pm_spike_ep00_d042,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,42,2026-08-01T09:21:00,D,D,90.64000000000007,0.0,0.0,0.0,0.0,1.0,1,64.75055554097298
scenario_1_kitchen_pm_spike_ep00_d045,scenario_1_kitchen_pm_spike_ep00,scenario_1_kitchen_pm_spike,45,2026-08-01T09:22:30,A,A,90.40000000000008,0.0,0.0,0.0,0.0,1.0,1,77.00009660048909
